Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.954,-26.454,270,bottom
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,90.716,-32.804,90,bottom
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.48,-34.328,180,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.29,-21.374,90,bottom
C5,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.494,-19.596,90,bottom
C5,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.812,-34.582,0,bottom
C6,4.7n,C_0805_2012Metric,93.51,20.028,180,bottom
C7,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.464,-14.516,90,bottom
C8,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.066,-14.516,270,bottom
C9,4.7n,C_0805_2012Metric,95.796,13.932,180,bottom
D2,1N4148W,D_SOD-123,-6.728829,11.875818,255,bottom
D3,1N4148W,D_SOD-123,14.433541,16.680761,255,bottom
D4,1N4148W,D_SOD-123,34.149228,16.657162,255,bottom
D5,1N4148W,D_SOD-123,51.103429,6.898118,255,bottom
D6,1N4148W,D_SOD-123,68.846915,-0.485836,255,bottom
D8,1N4148W,D_SOD-123,-11.659331,-6.525068,255,bottom
D9,1N4148W,D_SOD-123,9.503039,-1.720125,255,bottom
D10,1N4148W,D_SOD-123,29.218726,-1.743724,255,bottom
D11,1N4148W,D_SOD-123,46.304811,-11.581129,255,bottom
D12,1N4148W,D_SOD-123,63.916413,-18.886722,255,bottom
D14,1N4148W,D_SOD-123,-16.589833,-24.925954,255,bottom
D15,1N4148W,D_SOD-123,4.572537,-20.121011,255,bottom
D16,1N4148W,D_SOD-123,24.288224,-20.14461,255,bottom
D17,1N4148W,D_SOD-123,41.374309,-29.982015,255,bottom
D18,1N4148W,D_SOD-123,58.985911,-37.287608,255,bottom
D19,1N4148W,D_SOD-123,116.341462,-4.776372,285,bottom
D20,1N4148W,D_SOD-123,134.084948,2.607582,285,bottom
D21,1N4148W,D_SOD-123,151.171033,12.444987,285,bottom
D22,1N4148W,D_SOD-123,170.88672,12.468586,285,bottom
D23,1N4148W,D_SOD-123,191.917206,7.585283,285,bottom
D25,1N4148W,D_SOD-123,121.271964,-23.177258,285,bottom
D26,1N4148W,D_SOD-123,139.01545,-15.793304,285,bottom
D27,1N4148W,D_SOD-123,156.101535,-5.955899,285,bottom
D28,1N4148W,D_SOD-123,175.817222,-5.9323,285,bottom
D29,1N4148W,D_SOD-123,196.847708,-10.815603,285,bottom
D31,1N4148W,D_SOD-123,126.202466,-41.578144,285,bottom
D32,1N4148W,D_SOD-123,143.945952,-34.19419,285,bottom
D33,1N4148W,D_SOD-123,161.032037,-24.356785,285,bottom
D34,1N4148W,D_SOD-123,180.747724,-24.333186,285,bottom
D35,1N4148W,D_SOD-123,201.77821,-29.216489,285,bottom
D37,1N4148W,D_SOD-123,33.024921,-60.571798,255,bottom
D38,1N4148W,D_SOD-123,54.60254,-67.417807,245,bottom
D39,1N4148W,D_SOD-123,74.6053,-77.295279,235,bottom
D40,1N4148W,D_SOD-123,112.814,-86.652,305,bottom
D41,1N4148W,D_SOD-123,131.356,-74.206,295,bottom
D42,1N4148W,D_SOD-123,152.184,-64.046,285,bottom
R1,10k,R_0805_2012Metric,111.798,-31.026,90,bottom
R2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,91.478,5.11,270,bottom
R2,10k,R_0805_2012Metric,90.97,-14.008,270,bottom
R3,1M,R_0805_2012Metric,108.75,20.282,0,bottom
R4,22R,R_0805_2012Metric,107.226,7.328,90,bottom
R5,22R,R_0805_2012Metric,110.274,7.328,90,bottom
R6,5.1k,R_0805_2012Metric,99.86,12.662,90,bottom
R7,5.1k,R_0805_2012Metric,105.194,12.662,90,bottom
R8,1.5K,R_0805_2012Metric,102.4,12.662,90,bottom
U1,USBLC6-2SC6,SOT-23-6,109.004,12.408,270,bottom
U2,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,101.638,-25.692,0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,101.13,24.6,0,bottom
Y1,XTAL,Crystal_SMD_3225-4Pin_3.2x2.5mm,101.638,-14.516,180,bottom
