Ref,Val,Package,PosX,PosY,Rot,Side
"L1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",100.600000,-22.231250,0.000000,top
"L2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",85.731250,-46.043750,0.000000,top
"L3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.100000,-46.043750,0.000000,top
"SW2","SW_PUSH","MXOnly-1U-Hotswap",0.297454,6.012369,345.000000,top
"SW3","SW_PUSH","MXOnly-1U-Hotswap",21.327940,10.895673,345.000000,top
"SW4","SW_PUSH","MXOnly-1U-Hotswap",41.043627,10.872074,345.000000,top
"SW5","SW_PUSH","MXOnly-1U-Hotswap",58.129712,1.034669,345.000000,top
"SW6","SW_PUSH","MXOnly-1U-Hotswap",75.873198,-6.349285,345.000000,top
"SW8","SW_PUSH","MXOnly-1U-Hotswap",-4.633048,-12.388517,345.000000,top
"SW9","SW_PUSH","MXOnly-1U-Hotswap",16.397438,-7.505213,345.000000,top
"SW10","SW_PUSH","MXOnly-1U-Hotswap",36.113125,-7.528812,345.000000,top
"SW11","SW_PUSH","MXOnly-1U-Hotswap",53.199210,-17.366217,345.000000,top
"SW12","SW_PUSH","MXOnly-1U-Hotswap",70.942696,-24.750171,345.000000,top
"SW14","SW_PUSH","MXOnly-1U-Hotswap",-9.563550,-30.789403,345.000000,top
"SW15","SW_PUSH","MXOnly-1U-Hotswap",11.466936,-25.906099,345.000000,top
"SW16","SW_PUSH","MXOnly-1U-Hotswap",31.182623,-25.929698,345.000000,top
"SW17","SW_PUSH","MXOnly-1U-Hotswap",48.268708,-35.767103,345.000000,top
"SW18","SW_PUSH","MXOnly-1U-Hotswap",66.012194,-43.151057,345.000000,top
"SW19","SW_PUSH","MXOnly-1U-Hotswap",125.358398,-6.349285,15.000000,top
"SW20","SW_PUSH","MXOnly-1U-Hotswap",143.101884,1.034669,15.000000,top
"SW21","SW_PUSH","MXOnly-1U-Hotswap",160.187969,10.872074,15.000000,top
"SW22","SW_PUSH","MXOnly-1U-Hotswap",179.903656,10.895673,15.000000,top
"SW23","SW_PUSH","MXOnly-1U-Hotswap",200.934142,6.012370,15.000000,top
"SW25","SW_PUSH","MXOnly-1U-Hotswap",130.288900,-24.750171,15.000000,top
"SW26","SW_PUSH","MXOnly-1U-Hotswap",148.032386,-17.366217,15.000000,top
"SW27","SW_PUSH","MXOnly-1U-Hotswap",165.118471,-7.528812,15.000000,top
"SW28","SW_PUSH","MXOnly-1U-Hotswap",184.834158,-7.505213,15.000000,top
"SW29","SW_PUSH","MXOnly-1U-Hotswap",205.864644,-12.388516,15.000000,top
"SW31","SW_PUSH","MXOnly-1U-Hotswap",135.219402,-43.151057,15.000000,top
"SW32","SW_PUSH","MXOnly-1U-Hotswap",152.962888,-35.767103,15.000000,top
"SW33","SW_PUSH","MXOnly-1U-Hotswap",170.048973,-25.929698,15.000000,top
"SW34","SW_PUSH","MXOnly-1U-Hotswap",189.764660,-25.906099,15.000000,top
"SW35","SW_PUSH","MXOnly-1U-Hotswap",210.795146,-30.789402,15.000000,top
"SW37","SW_PUSH","MXOnly-1U-Hotswap",40.051204,-66.435247,345.000000,top
"SW38","SW_PUSH","MXOnly-1U-Hotswap",60.498865,-74.418703,335.000000,top
"SW39","SW_PUSH","MXOnly-1U-Hotswap",79.196353,-85.213702,325.000000,top
"SW40","SW_PUSH","MXOnly-1U-Hotswap",140.732731,-74.418703,25.000000,top
"SW41","SW_PUSH","MXOnly-1U-Hotswap",161.180392,-66.435247,15.000000,top
"SW42","SW_PUSH","MXOnly-1U-Hotswap",122.035243,-85.213702,35.000000,top
